,t,mtd,C,P,Q,Qp
0,-8.959711657526872,125.2560574427439,0.0,41.76172852598011,83.49432891676378,0.0
1,-8.859711657526873,126.19678078486929,0.0,41.89925387428259,84.2975269105867,0.0
2,-8.759711657526873,127.13533997619788,0.0,42.03201808845116,85.10332188774672,0.0
3,-8.659711657526874,128.07160308893225,0.0,42.159983815791364,85.91161927314089,0.0
4,-8.559711657526874,129.00544508579463,0.0,42.28311805452406,86.72232703127058,0.0
5,-8.459711657526874,129.93674279359598,0.0,42.40139032707314,87.53535246652284,0.0
6,-8.359711657526875,130.8653743749694,0.0,42.514772404701006,88.35060197026839,0.0
7,-8.259711657526875,131.7912200694919,0.0,42.62323864552621,89.16798142396571,0.0
8,-8.159711657526875,132.71416215351613,0.0,42.72676597265844,89.98739618085769,0.0
9,-8.059711657526876,133.6340850088643,0.0,42.825333787559316,90.808751221305,0.0
10,-7.959711657526876,134.55087529759763,0.0,42.91892417168457,91.63195112591305,0.0
11,-7.859711657526876,135.46442195587113,0.0,43.00752185920524,92.45690009666589,0.0
12,-7.759711657526877,136.3746158897857,0.0,43.091113671815094,93.28350221797061,0.0
13,-7.659711657526877,137.2813503797306,0.0,43.16968915206003,94.1116612276706,0.0
14,-7.5597116575268775,138.18452110149417,0.0,43.2432403295062,94.94128077198798,0.0
15,-7.459711657526878,139.08402600826173,0.0,43.311761739183005,95.77226426907872,0.0
16,-7.359711657526878,139.97976552056778,0.0,43.375250352790665,96.60451516777711,0.0
17,-7.2597116575268785,140.8716423973415,0.0,43.43370562536714,97.43793677197436,0.0
18,-7.159711657526879,141.7595619000384,0.0,43.487129385213784,98.27243251482462,0.0
19,-7.059711657526879,142.64343170770474,0.0,43.53552590359077,99.10790580411397,0.0
20,-6.95971165752688,143.5231619706808,0.0,43.578901866061045,99.94426010461977,0.0
21,-6.85971165752688,144.39866532741644,0.0,43.617266272912524,100.78139905450391,0.0
22,-6.75971165752688,145.269856932886,0.0,43.65063038956399,101.619226543322,0.0
23,-6.659711657526881,146.13665454602526,0.0,43.679007796685845,102.45764674933942,0.0
24,-6.559711657526881,146.99897850617967,0.0,43.70241432311147,103.2965641830682,0.0
25,-6.459711657526881,147.85675148198948,0.0,43.7208680015621,104.13588348042737,0.0
26,-6.359711657526882,148.70989875936056,0.0,43.73438904870927,104.9755097106513,0.0
27,-6.259711657526882,149.55834822006898,0.0,43.74299983123293,105.81534838883606,0.0
28,-6.159711657526882,150.4020302495669,0.0,43.746724785188654,106.65530546437824,0.0
29,-6.059711657526883,151.2408777338526,0.0,43.74559037364832,107.4952873602043,0.0
30,-5.959711657526883,152.0748261417019,0.0,43.73962509478573,108.33520104691617,0.0
31,-5.8597116575268835,152.90381347784208,0.0,43.728859412541205,109.17495406530087,0.0
32,-5.759711657526884,153.7277801933986,0.0,43.71332565657231,110.01445453682628,0.0
33,-5.659711657526884,154.5466692743621,0.0,43.69305804002219,110.85361123433992,0.0
34,-5.559711657526885,155.36042621671365,0.0,43.6680926026225,111.69233361409115,0.0
35,-5.459711657526885,156.1689989737721,0.0,43.63846713797442,112.53053183579766,0.0
36,-5.359711657526885,156.972337904815,0.0,43.604221122108214,113.36811678270678,0.0
37,-5.259711657526886,157.7703958553793,0.0,43.56539571980299,114.2050001355763,0.0
38,-5.159711657526886,158.563128086682,0.0,43.52203370358836,115.04109438309364,0.0
39,-5.059711657526886,159.35049218831216,0.0,43.474179369102,115.87631281921016,0.0
40,-4.959711657526887,160.13244815089544,0.0,43.42187852811458,116.71056962278085,0.0
41,-4.859711657526887,160.90895832060153,0.0,43.365178443803984,117.54377987679756,0.0
42,-4.759711657526887,161.6799873668858,0.0,43.3041277722517,118.3758595946341,0.0
43,-4.659711657526888,162.445502231262,0.0,43.2387765037685,119.20672572749349,0.0
44,-4.559711657526888,163.20547207971393,0.0,43.16917590296743,120.0362961767465,0.0
45,-4.4597116575268885,163.95986830112204,0.0,43.09537845031964,120.8644898508024,0.0
46,-4.359711657526889,164.70866444853334,0.0,43.01743777853275,121.69122667000057,0.0
47,-4.259711657526889,165.45183619800207,0.0,42.9354086118637,122.51642758613838,0.0
48,-4.1597116575268895,166.18936144508274,0.0,42.84934680351368,123.34001464156904,0.0
49,-4.05971165752689,166.92122016963305,0.0,42.75930920970848,124.16191095992457,0.0
50,-3.9597116575268902,167.64739435810992,0.0,42.66535360519082,124.9820407529191,0.0
51,-3.8597116575268906,168.36786799646057,0.0,42.56753864940097,125.80032934705959,0.0
52,-3.759711657526891,169.08262704098607,0.0,42.46592383867504,126.61670320231103,0.0
53,-3.6597116575268913,169.79165944356953,0.0,42.36056950113635,127.43108994243319,0.0
54,-3.5597116575268917,170.49495502884616,0.0,42.25153667837533,128.24341835047082,0.0
55,-3.459711657526892,171.19250547198703,0.0,42.13888708544354,129.0536183865435,0.0
56,-3.3597116575268924,171.88430426263022,0.0,42.02268306100002,129.86162120163021,0.0
57,-3.2597116575268927,172.57034667939507,0.0,41.902987529335476,130.66735915005958,0.0
58,-3.159711657526893,173.25062976017833,0.0,41.77986395943774,131.4707658007406,0.0
59,-3.0597116575268934,173.9251522282273,0.0,41.65337628363653,132.27177594459076,0.0
60,-2.959711657526894,174.59391446326083,0.0,41.52358885942399,133.07032560383684,0.0
61,-2.859711657526894,175.25691845944107,0.0,41.39056641989531,133.86635203954575,0.0
62,-2.7597116575268945,175.91416780734104,0.0,41.25437404582203,134.659793761519,0.0
63,-2.659711657526895,176.56566763615604,0.0,41.11507710436827,135.45059053178775,0.0
