,t,mtd,C,P,Q,Qp
0,-30.021440164941,36.41206806767512,0.0,36.197911073174545,0.21415699450057693,0.0
1,-29.921440164941,38.59146511566793,0.0,36.74091042312883,1.8505546925391003,0.0
2,-29.821440164941,40.7730642652099,0.0,37.26223034163008,3.5108339235798165,0.0
3,-29.721440164940997,42.95470364669461,0.0,37.76070798634261,5.193995660352003,0.0
4,-29.621440164940996,45.134239281493294,0.0,38.2352491216585,6.898990159834793,0.0
5,-29.521440164940994,47.309554361564665,0.0,38.684834070422774,8.62472029114189,0.0
6,-29.421440164940993,49.478567524387564,0.0,39.10852260546151,10.370044918926055,0.0
7,-29.32144016494099,51.63924103140883,0.0,39.505458452023575,12.133782579385251,0.0
8,-29.22144016494099,53.78958848738036,0.0,39.87487313679531,13.914715350585046,0.0
9,-29.12144016494099,55.9276819333413,0.0,40.21608906185451,15.711592871486786,0.0
10,-29.021440164940987,58.05165853695355,0.0,40.52852208558207,17.52313645137148,0.0
11,-28.921440164940986,60.15972650847843,0.0,40.81168319867551,19.348043309802918,0.0
12,-28.821440164940984,62.25017052142338,0.0,41.06517963073987,21.18499089068351,0.0
13,-28.721440164940983,64.32135606284649,0.0,41.28871487470565,23.03264118814085,0.0
14,-28.62144016494098,66.37173386160055,0.0,41.48208882137467,24.88964504022588,0.0
15,-28.52144016494098,68.39984284681123,0.0,41.64519638780893,26.754646459002295,0.0
16,-28.42144016494098,70.40431280304169,0.0,41.77802597469443,28.626286828347258,0.0
17,-28.321440164940977,72.38386662783853,0.0,41.880657527912334,30.503209099926195,0.0
18,-28.221440164940976,74.33732113724764,0.0,41.95325935620822,32.384061781039414,0.0
19,-28.121440164940974,76.26358808114469,0.0,41.996085226801476,34.26750285434321,0.0
20,-28.021440164940973,78.1616742698753,0.0,42.009470678098715,36.1522035917766,0.0
21,-27.92144016494097,80.0306810852587,0.0,41.99382902028736,38.03685206497135,0.0
22,-27.82144016494097,81.86980263653254,0.0,41.94964615843645,39.92015647809609,0.0
23,-27.72144016494097,83.67832544951517,0.0,41.87747701028402,41.80084843923115,0.0
24,-27.621440164940967,85.45562598665498,0.0,41.7779400890379,43.67768589761708,0.0
25,-27.521440164940966,87.20116846793076,0.0,41.65171258665713,45.54945588127363,0.0
26,-27.421440164940964,88.9145021093664,0.0,41.499525064112554,47.41497704525384,0.0
27,-27.321440164940963,90.59525826275419,0.0,41.32215635747599,49.2731019052782,0.0
28,-27.22144016494096,92.24314707115633,0.0,41.12042815736338,51.12271891379296,0.0
29,-27.12144016494096,93.8579542258164,0.0,40.89519997339095,52.962754252425455,0.0
30,-27.02144016494096,95.43953718858798,0.0,40.64736377453481,54.79217341405317,0.0
31,-26.921440164940957,96.98782168921053,0.0,40.37783913408835,56.60998255512219,0.0
32,-26.821440164940956,98.502797727743,0.0,40.08756811828461,58.4152296094584,0.0
33,-26.721440164940955,99.9845159443197,0.0,39.7775107304273,60.2070052138924,0.0
34,-26.621440164940953,101.43308342239678,0.0,39.44864005833803,61.98444336405875,0.0
35,-26.52144016494095,102.8486600113297,0.0,39.10193806767662,63.74672194365308,0.0
36,-26.42144016494095,104.23145465327968,0.0,38.73839162024556,65.49306303303413,0.0
37,-26.32144016494095,105.58172152842789,0.0,38.358988536068225,67.22273299235967,0.0
38,-26.221440164940947,106.89975599526417,0.0,37.96471351501834,68.93504248024583,0.0
39,-26.121440164940946,108.18589150093229,0.0,37.556545293534896,70.62934620739739,0.0
40,-26.021440164940945,109.44049580005358,0.0,37.13545320133104,72.30504259872254,0.0
41,-25.921440164940943,110.66396756042236,0.0,36.70239425366999,73.96157330675237,0.0
42,-25.82144016494094,111.85673335504407,0.0,36.25831076116003,75.59842259388404,0.0
43,-25.72144016494094,113.0192443246134,0.0,35.804127692300625,77.21511663231277,0.0
44,-25.62144016494094,114.15197341331734,0.0,35.340750749572,78.81122266374534,0.0
45,-25.521440164940937,115.25541249295782,0.0,34.86906439600133,80.38634809695648,0.0
46,-25.421440164940936,116.33006973552408,0.0,34.389930213473434,81.94013952205064,0.0
47,-25.321440164940935,117.37646718026829,0.0,33.90418553009251,83.47228165017577,0.0
48,-25.221440164940933,118.39513830586854,0.0,33.41264212204899,84.98249618381955,0.0
49,-25.121440164940932,119.38662595054774,0.0,32.916085285278236,86.47054066526951,0.0
50,-25.02144016494093,120.35148022609155,0.0,32.415272969418744,87.9362072566728,0.0
51,-24.92144016494093,121.29025664733892,0.0,31.910935144694974,89.37932150264395,0.0
52,-24.821440164940928,122.20351441306636,0.0,31.40377334580088,90.79974106726549,0.0
53,-24.721440164940926,123.09181474569017,0.0,30.89446031611645,92.19735442957372,0.0
54,-24.621440164940925,123.95571951321162,0.0,30.383639885261168,93.57207962795046,0.0
55,-24.521440164940923,124.79578986798565,0.0,29.871926913981923,94.92386295400372,0.0
56,-24.421440164940922,125.61258488151076,0.0,29.359907298573223,96.25267758293754,0.0
57,-24.32144016494092,126.40666058803005,0.0,28.84813822179977,97.55852236623028,0.0
58,-24.22144016494092,127.17856895986745,0.0,28.337148419313372,98.84142054055408,0.0
59,-24.121440164940918,127.9288569322105,0.0,27.827438552294215,100.10141837991628,0.0
60,-24.021440164940916,128.65806566617354,0.0,27.319481640890373,101.33858402528317,0.0
61,-23.921440164940915,129.36672983350732,0.0,26.813723573999656,102.55300625950765,0.0
62,-23.821440164940913,130.05537694718282,0.0,26.31058372116637,103.74479322601644,0.0
63,-23.721440164940912,130.72452683533587,0.0,25.810455520464032,104.91407131487183,0.0
64,-23.62144016494091,131.37469116386129,0.0,25.313707134041135,106.06098402982015,0.0
65,-23.52144016494091,132.0063730239646,0.0,24.820682220540384,107.18569080342422,0.0
66,-23.421440164940908,132.62006658052294,0.0,24.33170062561627,108.28836595490667,0.0
67,-23.321440164940906,133.21625677706254,0.0,23.847059113529287,109.36919766353324,0.0
68,-23.221440164940905,133.79541911307268,0.0,23.36703221768805,110.42838689538463,0.0
69,-23.121440164940903,134.3580194455969,0.0,22.89187300120187,111.46614644439504,0.0
70,-23.021440164940902,134.90451383065255,0.0,22.42181381361658,112.48270001703598,0.0
71,-22.9214401649409,135.4353484433082,0.0,21.957067161510267,113.47828128179792,0.0
72,-22.8214401649409,135.9509595050922,0.0,21.497826503960827,114.45313300113136,0.0
73,-22.721440164940898,136.45177322490153,0.0,21.04426699925575,115.40750622564579,0.0
74,-22.621440164940896,136.93820581864384,0.0,20.596546354780756,116.34165946386308,0.0
75,-22.521440164940895,137.41066353690232,0.0,20.154805627647374,117.25585790925496,0.0
76,-22.421440164940893,137.86954267870595,0.0,19.719169937519883,118.15037274118606,0.0
77,-22.321440164940892,138.31522968306626,0.0,19.289749275283732,119.02548040778252,0.0
78,-22.22144016494089,138.74810123015106,0.0,18.866639277716274,119.8814619524348,0.0
79,-22.12144016494089,139.16852430227382,0.0,18.4499218869529,120.71860241532092,0.0
80,-22.021440164940888,139.5768563069245,0.0,18.039666075288515,121.53719023163599,0.0
81,-21.921440164940886,139.9734452462907,0.0,17.635928603503917,122.3375166427868,0.0
82,-21.821440164940885,140.3586298448385,0.0,17.238754676294203,123.1198751685443,0.0
83,-21.721440164940883,140.73273969055535,0.0,16.848178585964266,123.88456110459109,0.0
84,-21.621440164940882,141.09609540577688,0.0,16.46422436681231,124.63187103896456,0.0
85,-21.52144016494088,141.44900877442194,0.0,16.086906316593257,125.3621024578287,0.0
86,-21.42144016494088,141.79178295527439,0.0,15.716229684172808,126.07555327110158,0.0
87,-21.321440164940878,142.12471266160003,0.0,15.352191244753637,126.77252141684639,0.0
88,-21.221440164940876,142.44808432633891,0.0,14.99477981975691,127.45330450658201,0.0
89,-21.121440164940875,142.7621762503015,0.0,14.643976739403167,128.11819951089834,0.0
90,-21.021440164940874,143.0672588399019,0.0,14.299756453314348,128.76750238658755,0.0
91,-20.921440164940872,143.36359478170823,0.0,13.962086997014794,129.40150778469342,0.0
92,-20.82144016494087,143.6514392039411,0.0,13.630930405378223,130.02050879856287,0.0
93,-20.72144016494087,143.93103986351565,0.0,13.306243160436441,130.6247967030792,0.0
94,-20.621440164940868,144.2026373502956,0.0,12.987976657221534,131.21466069307405,0.0
95,-20.521440164940866,144.46646526268293,0.0,12.6760775907354,131.79038767194754,0.0
96,-20.421440164940865,144.72275037973688,0.0,12.370488319894225,132.35226205984264,0.0
97,-20.321440164940864,144.97171284922015,0.0,12.071147248995004,132.90056560022515,0.0
98,-20.221440164940862,145.213566367406,0.0,11.777989177564775,133.43557718984124,0.0
99,-20.12144016494086,145.44851835143814,0.0,11.4909456260172,133.95757272542093,0.0
100,-20.02144016494086,145.67677010025173,0.0,11.209945137826054,134.46682496242568,0.0
101,-19.921440164940858,145.89851697753951,0.0,10.934913588813542,134.96360338872597,0.0
102,-19.821440164940856,146.11394857523638,0.0,10.6657744656914,135.44817410954496,0.0
103,-19.721440164940855,146.323248874008,0.0,10.402449124502672,135.9207997495053,0.0
104,-19.621440164940854,146.52659640204357,0.0,10.14485703708656,136.381739364957,0.0
105,-19.521440164940852,146.72416439580152,0.0,9.892916036104745,136.8312483596968,0.0
106,-19.42144016494085,146.9161209526088,0.0,9.646542534079874,137.2695784185289,0.0
107,-19.32144016494085,147.1026291738975,0.0,9.405651726688793,137.6969774472087,0.0
108,-19.221440164940848,147.28384731472664,0.0,9.17015779201932,138.11368952270732,0.0
109,-19.121440164940847,147.45992892824694,0.0,8.939974076631902,138.51995485161504,0.0
110,-19.021440164940845,147.63102300305218,0.0,8.715013266459568,138.9160097365926,0.0
111,-18.921440164940844,147.79727409464974,0.0,8.495187541731951,139.30208655291779,0.0
112,-18.821440164940842,147.95882246269275,0.0,8.280408736443642,139.67841372624912,0.0
113,-18.72144016494084,148.11580419938383,0.0,8.07058847874557,140.04521572063825,0.0
114,-18.62144016494084,148.268351355708,0.0,7.86563832354869,140.4027130321593,0.0
115,-18.521440164940838,148.4165920536445,0.0,7.665469864109556,140.75112218953495,0.0
116,-18.421440164940837,148.56065060606593,0.0,7.4699948473749815,141.09065575869096,0.0
117,-18.321440164940835,148.70064764007648,0.0,7.279125288602798,141.4215223514737,0.0
118,-18.221440164940834,148.83670020548269,0.0,7.0927735648251655,141.74392664065752,0.0
119,-18.121440164940832,148.9689218824572,0.0,6.910852504591238,142.05806937786596,0.0
120,-18.02144016494083,149.09742287828726,0.0,6.733275466497031,142.36414741179024,0.0
121,-17.92144016494083,149.22231013975068,0.0,6.559956421280307,142.66235371847037,0.0
122,-17.821440164940828,149.34368745048855,0.0,6.390810021147337,142.9528774293412,0.0
123,-17.721440164940827,149.46165552723832,0.0,6.225751664171163,143.23590386306716,0.0
124,-17.621440164940825,149.57631210890506,0.0,6.064697549398772,143.51161455950628,0.0
125,-17.521440164940824,149.68775204794554,0.0,5.907564730700228,143.78018731724532,0.0
126,-17.421440164940822,149.7960674018259,0.0,5.754271167769431,144.04179623405645,0.0
127,-17.32144016494082,149.90134751673483,0.0,5.604735768174687,144.29661174856014,0.0
128,-17.22144016494082,150.00367910977855,0.0,5.458878426391846,144.5448006833867,0.0
129,-17.121440164940818,150.10314634543485,0.0,5.316620058698488,144.78652628673638,0.0
130,-17.021440164940817,150.1998309174035,0.0,5.177882633987158,145.02194828341632,0.0
131,-16.921440164940815,150.2938121229995,0.0,5.04258920094123,145.25122292205828,0.0
132,-16.821440164940814,150.3851669360206,0.0,4.910663911696072,145.47450302432452,0.0
133,-16.721440164940812,150.47397007528937,0.0,4.782032043108873,145.6919380321805,0.0
134,-16.62144016494081,150.56029407345355,0.0,4.656620014071073,145.90367405938247,0.0
135,-16.52144016494081,150.64420934484747,0.0,4.534355399515653,146.10985394533182,0.0
136,-16.421440164940808,150.7257842489498,0.0,4.415166942598996,146.3106173063508,0.0
137,-16.321440164940807,150.80508515247996,0.0,4.298984564283974,146.50610058819598,0.0
138,-16.221440164940805,150.8821764887657,0.0,4.18573937146181,146.6964371173039,0.0
139,-16.121440164940804,150.95712081722317,0.0,4.075363660715342,146.88175715650783,0.0
140,-16.021440164940802,151.02997887974254,0.0,3.967790921435826,147.0621879583067,0.0
141,-15.921440164940801,151.1008096555331,0.0,3.8629558367886716,147.23785381874444,0.0
142,-15.8214401649408,151.1696704133096,0.0,3.7607942848543026,147.4088761284553,0.0
143,-15.721440164940798,151.23661676289493,0.0,3.6612433360408256,147.5753734268541,0.0
144,-15.621440164940797,151.30170270567487,0.0,3.564241248085721,147.73746145758915,0.0
145,-15.521440164940795,151.36498068250552,0.0,3.469727461585696,147.8952532209198,0.0
146,-15.421440164940794,151.42650162043284,0.0,3.377642593901613,148.04885902653123,0.0
147,-15.321440164940793,151.4863149778417,0.0,3.28792843320374,148.19838654463794,0.0
148,-15.221440164940791,151.5444687884886,0.0,3.2005279281760033,148.34394086031259,0.0
149,-15.12144016494079,151.60100970398273,0.0,3.1153851788702185,148.4856245251125,0.0
150,-15.021440164940788,151.65598303498047,0.0,3.032445426290002,148.62353760869047,0.0
151,-14.921440164940787,151.70943279087598,0.0,2.951655042876823,148.75777774799914,0.0
152,-14.821440164940785,151.76140171852742,0.0,2.8729615200827956,148.88844019844464,0.0
153,-14.721440164940784,151.8119313398634,0.0,2.7963134546090465,149.01561788525436,0.0
154,-14.621440164940783,151.86106198810515,0.0,2.7216605357291037,149.13940145237603,0.0
155,-14.521440164940781,151.9088328429422,0.0,2.6489535314843073,149.2598793114579,0.0
156,-14.42144016494078,151.95528196450132,0.0,2.578144277457371,149.37713768704396,0.0
157,-14.321440164940778,152.00044632644486,0.0,2.5091856601778835,149.49126066626698,0.0
158,-14.221440164940777,152.04436184798854,0.0,2.4420316015991546,149.60233024638939,0.0
159,-14.121440164940775,152.08706342487827,0.0,2.376637044440567,149.7104263804377,0.0
160,-14.021440164940774,152.1285849594626,0.0,2.3129579367697897,149.8156270226928,0.0
161,-13.921440164940773,152.16895939012008,0.0,2.2509512181286775,149.9180081719914,0.0
162,-13.821440164940771,152.2082187192332,0.0,2.1905748018253006,150.0176439174079,0.0
163,-13.72144016494077,152.24639404059872,0.0,2.1317875589795365,150.11460648161918,0.0
164,-13.621440164940768,152.28351556601024,0.0,2.074549302464499,150.20896626354573,0.0
165,-13.521440164940767,152.31961265101046,0.0,2.0188207709735186,150.30079188003694,0.0
166,-13.421440164940766,152.3547138199276,0.0,1.9645636147507188,150.3901502051769,0.0
167,-13.321440164940764,152.38884678995885,0.0,1.91174037675795,150.4771064132009,0.0
168,-13.221440164940763,152.422038494642,0.0,1.860314476943757,150.56172401769825,0.0
169,-13.121440164940761,152.45431510658491,0.0,1.8102501960026267,150.6440649105823,0.0
170,-13.02144016494076,152.48570205961323,0.0,1.7615126595465782,150.72418940006665,0.0
171,-12.921440164940758,152.51622407037132,0.0,1.714067822887299,150.80215624748402,0.0
172,-12.821440164940757,152.54590515872138,0.0,1.6678824533248675,150.87802270539652,0.0
173,-12.721440164940756,152.57476866797455,0.0,1.6229241146345985,150.95184455333995,0.0
174,-12.621440164940754,152.60283728439595,0.0,1.5791611510981247,151.0236761332978,0.0
175,-12.521440164940753,152.6301330562706,0.0,1.536562672359008,151.0935703839116,0.0
176,-12.421440164940751,152.65667741234765,0.0,1.495098538147666,151.1615788742,0.0
177,-12.32144016494075,152.6824911794186,0.0,1.454739341634571,151.22775183778404,0.0
178,-12.221440164940748,152.70759459969665,0.0,1.415456394530253,151.2921382051664,0.0
179,-12.121440164940747,152.73200734757393,0.0,1.3772217118388301,151.35478563573508,0.0
180,-12.021440164940746,152.75574854601288,0.0,1.340007997691781,151.4157405483211,0.0
