C,P,Q,Qp,MTD
0.0,7.13,41.2,0.0,48.330000000000005
0.0,7.153563334744687,41.22106826228937,0.0,48.37463159703406
0.0,7.177165738934371,41.24220609182579,0.0,48.41937183076016
0.0,7.20080699974835,41.263413599258705,0.0,48.46422059900706
0.0,7.2244868685770705,41.28469091149831,0.0,48.509177780075376
0.0,7.248205199016878,41.3060380985465,0.0,48.55424329756338
0.0,7.271961718117827,41.32745529643681,0.0,48.59941701455464
0.0,7.295756167687795,41.34894263472348,0.0,48.64469880241127
0.0,7.31958828954826,41.370500242949255,0.0,48.69008853249751
0.0,7.34345785492324,41.3921282257726,0.0,48.73558608069584
0.0,7.36736464777544,41.41382667707088,0.0,48.78119132484632
0.0,7.391308432419072,41.435595707350544,0.0,48.82690413976962
0.0,7.41528897316835,41.45743542711804,0.0,48.872724400286394
0.0,7.439306028612924,41.479345945059336,0.0,48.91865197367226
0.0,7.46335934238474,41.50132736510357,0.0,48.96468670748831
0.0,7.4874486684729336,41.523379794473655,0.0,49.01082846294659
0.0,7.511573761691942,41.54550334065497,0.0,49.05707710234691
0.0,7.535734353419855,41.567698103311926,0.0,49.10343245673178
0.0,7.55993023772873,41.589964203030576,0.0,49.149894440759304
0.0,7.584161110108911,41.61230172749923,0.0,49.19646283760814
0.0,7.6084267211821315,41.63471078280411,0.0,49.24313750398625
0.0,7.632726819295162,41.65719147427074,0.0,49.289918293565904
0.0,7.657061138465539,41.67974390214619,0.0,49.33680504061173
0.0,7.681429408843055,41.70236816534635,0.0,49.3837975741894
0.0,7.705831364812531,41.72506436435814,0.0,49.43089572917067
0.0,7.730266737847549,41.74783259867987,0.0,49.47809933652742
0.0,7.754735256510448,41.77067296682123,0.0,49.52540822333168
0.0,7.779236646452324,41.79358556630325,0.0,49.572822212755575
0.0,7.803770630413034,41.81657049365836,0.0,49.620341124071395
0.0,7.828336928221192,41.83962784443035,0.0,49.667964772651544
0.0,7.852935256839197,41.86275771318205,0.0,49.715692970021244
0.0,7.877565336509208,41.88596019454171,0.0,49.76352553105092
0.0,7.90222688512684,41.909235382245114,0.0,49.81146226737195
0.0,7.9269196145720695,41.93258336851086,0.0,49.85950298308293
0.0,7.951643234162949,41.9560042446284,0.0,49.907647478791354
